MCC is started and listens on 5000
NEW robot: type=0 color=0
got activate 0 
#0 activated
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
#0 Send data 0:	(0, 120, 90.000000)
