mittelwert alpha, standardabweichung alpha;	mittelwert beta (vertikal), standardabweichung beta;	mittelwert hoehe Marker, standardabweichung hoehe Marker;	marker erkannt?

0.008550160005688668, 0.0009805488363331715)	0.2155900701880455, 0.023955028542492363)	0.08677193596959114, 0.009641326218843463)	False
-0.00351777202449739, 0.0003908635582774876)	0.10712631493806839, 0.011902923882007602)	0.07739118486642838, 0.008599020540714264)	True
-0.00703554404899478, 0.0007817271165549752)	0.013240337558090686, 0.0014711486175656323)	0.07035562321543694, 0.007817291468381879)	True
0.004364654887467623, 0.0004956469482941295)	0.03403701558709145, 0.0037833500433465997)	0.06566524431109429, 0.00729613825678825)	True
0.010504485480487347, 0.0011696868363275028)	-0.01456102468073368, 0.0016193837126842665)	0.05993256568908691, 0.006783888652357065)	True
0.0024429035140201448, 0.0002820802771954087)	0.026196481101214884, 0.002914392408484638)	0.05393931046128273, 0.005993256717920301)	True
-0.014755143038928508, 0.001646635846808147)	-0.005165737727656961, 0.0005952202639398554)	0.051594124361872676, 0.0057326804846525165)	True
-8.143011655192822e-05, 0.00015592218835732438)	-0.008191613759845496, 0.0011018940542645778)	0.04690374881029129, 0.005211527645587923)	True
-0.015097141452133655, 0.0016966746068390966)	0.01482850443571806, 0.0016739979419054141)	0.04455855935811996, 0.004950951039791111)	True
-0.014005995459026761, 0.001752169312758085)	-0.016643294029765658, 0.002080411753720708)	0.04169222050242954, 0.005211527562803693)	True
-0.019488947310795385, 0.0017992262423256122)	0.016132475963483255, 0.0014753815478935743)	0.03040057886391878, 0.0116150127864909)	False
-0.011449062824249267, 0.0012777683796029648)	0.028102261386811732, 0.003127221521446514)	0.037523001059889795, 0.0041692223399877534)	True
-0.0068401215331895015, 0.0011400202555315831)	0.00549293788416045, 0.0009188752482522422)	0.033502677721636634, 0.005583779620272774)	True
-0.017344630789011717, 0.002478896597195425)	0.005851168534718454, 0.0008358812192454934)	0.03192060487344861, 0.004560086410492659)	True
